codigo,n_anpc,ano,mes,dia,data_alerta,hora_alerta,data_extincao,hora_extincao,data_1intervencao,hora_1intervencao,distrito,concelho,freguesia,local,dico_ine,lat,lon,x_militar,y_militar,coord_fonte,area_total_ha,area_povoamento_ha,area_mato_ha,area_agricola_ha,tipo,causa_codigo,causa_tipo,reacendimento,incendio_florestal,incendio_agricola,queimada,duracao_h
TM901810,8989.0,2001,6,1,2001-06-01,15:50:00,2001-06-01,19:00:00,2001-06-01,15:50:00,Guarda,Vila Nova De Foz Côa,Almendra,Almendra,91401,41.034167,-7.006944,294700.0,452300.0,dms_recuperado,270.0,0.0,263.33,6.67,Florestal,,,0,1,0,0,3.17
AT901358,1.0,2001,6,1,2001-06-01,14:20:00,2001-06-01,17:30:00,2001-06-01,14:23:00,Évora,Évora,São Vicente do Pigeiro,Monte da Defesa,70511,38.419332,-7.60735,245913.0,161478.0,dms_recuperado,170.0,73.0,0.0,97.0,Florestal,2.0,Negligente,0,1,0,0,3.17
AT90115,15.0,2001,6,17,2001-06-17,14:59:00,2001-06-17,21:00:00,2001-06-17,15:10:00,Portalegre,Elvas,Vila Boim,VILA BOIM,120710,38.861389,-7.276667,274327.0,210785.0,dms_recuperado,291.4055,285.1555,0.0,6.25,Florestal,,,0,1,0,0,6.02
AT901140,13.0,2001,6,18,2001-06-18,12:20:00,2001-06-19,00:10:00,2001-06-18,12:25:00,Évora,Portel,Amieira,MONTE NOVO,70902,38.264167,-7.553889,250686.0,144307.0,dms_recuperado,217.0,217.0,0.0,0.0,Florestal,,,0,1,0,0,11.83
TM901505,4597.0,2001,6,20,2001-06-20,20:25:00,2001-06-21,02:30:00,2001-06-20,21:30:00,Vila Real,Vila Pouca de Aguiar,Bornes de Aguiar,Vale de Curtinhas \ REG,171303,41.506111,-7.596389,244812.0,504257.0,dms_recuperado,1157.97,394.39,763.58,0.0,Florestal,4.0,Intencional,0,1,0,0,6.08
BL101495,16417.0,2001,6,20,2001-06-20,17:35:00,2001-06-26,16:00:00,2001-06-20,17:45:00,Viseu,Sátão,Romãs,Souto de Golfar,181708,40.756667,-7.619167,243400.0,421000.0,dms_recuperado,1082.0,810.0,272.0,0.0,Florestal,6.0,Desconhecida,0,1,0,0,142.42
BI101187,8578.0,2001,6,20,2001-06-20,11:01:00,2001-06-20,12:10:00,2001-06-20,11:30:00,Guarda,Sabugal,Bendada,BENDADA \ SF,91110,40.371667,-7.251111,274900.0,378500.0,dms_recuperado,171.0,0.0,171.0,0.0,Florestal,,,0,1,0,0,1.15
BI101190,8590.0,2001,6,20,2001-06-20,12:58:00,2001-06-21,00:53:00,2001-06-20,13:30:00,Guarda,Celorico da Beira,Celorico (são Pedro),Ribeiro de Mões \ CAS,90317,40.638333,-7.381667,263565.0,407994.0,dms_recuperado,131.0,0.0,130.0,1.0,Florestal,,,0,1,0,0,11.92
TM901558,7637.0,2001,6,20,2001-06-20,15:30:00,2001-06-21,01:57:00,2001-06-20,15:50:00,Bragança,Miranda do Douro,Palaçoulo,Maiolo \ REG,40609,41.468056,-6.459722,339794.0,501228.0,dms_recuperado,108.21,62.52,45.69,0.0,Florestal,,,0,1,0,0,10.45
TM901562,7680.0,2001,6,21,2001-06-21,15:20:00,2001-06-22,01:05:00,2001-06-21,15:40:00,Bragança,Miranda do Douro,Sendim,Moinhos \ REG,40614,41.388333,-6.399444,344990.0,492469.0,dms_recuperado,309.17,309.17,0.0,0.0,Florestal,,,0,1,0,0,9.75
BI201131,11642.0,2001,6,22,2001-06-22,17:57:00,2001-06-22,23:26:00,2001-06-22,17:57:00,Castelo Branco,Idanha-a-Nova,Salvaterra do Extremo,SALVATERRA DO EXTREMO,50513,39.886111,-6.921667,303600.0,324900.0,dms_recuperado,130.0,130.0,0.0,0.0,Florestal,,,0,1,0,0,5.48
AT90166,41.0,2001,6,22,2001-06-22,15:45:00,2001-06-22,21:00:00,2001-06-22,15:50:00,Setúbal,Grândola,Grândola,Canal Caveira,150502,38.134722,-8.488611,168822.0,129834.0,dms_recuperado,115.0,111.0,4.0,0.0,Florestal,,,0,1,0,0,5.25
AG10138,20884.0,2001,6,23,2001-06-23,14:58:00,2001-06-23,14:58:00,2001-06-23,14:58:00,Faro,Silves,Silves,Taborda,81307,37.201944,-8.4925,168087.0,26295.0,dms_recuperado,117.064,117.064,0.0,0.0,Florestal,6.0,Desconhecida,0,1,0,0,0.0
AT901128,33.0,2001,6,24,2001-06-24,12:30:00,2001-06-24,19:30:00,2001-06-24,12:35:00,Beja,Barrancos,Barrancos,ARRANCADAS,20401,38.156389,-6.983889,300702.0,132809.0,dms_recuperado,186.0,142.0,0.0,44.0,Florestal,6.0,Desconhecida,1,1,0,0,7.0
TM901773,8889.0,2001,6,24,2001-06-24,15:50:00,2001-06-24,22:45:00,2001-06-24,16:20:00,Guarda,Vila Nova De Foz Côa,Almendra,ALMENDRA,91401,41.034167,-7.006944,294700.0,452300.0,dms_recuperado,170.0,0.0,165.0,5.0,Florestal,,,0,1,0,0,6.92
TM901774,8918.0,2001,6,25,2001-06-25,00:01:00,2001-06-25,19:00:00,2001-06-25,00:30:00,Guarda,Vila Nova De Foz Côa,Almendra,ALMENDRA,91401,41.034167,-7.006944,294700.0,452300.0,dms_recuperado,120.8,0.0,120.0,0.8,Florestal,,,1,1,0,0,18.98
AT901143,41.0,2001,6,27,2001-06-27,15:30:00,2001-06-27,18:15:00,2001-06-27,15:32:00,Beja,Castro Verde,Santa Bárbara de Padrões,Sete,20604,37.6175,-7.954444,215756.0,72379.0,dms_recuperado,148.0,30.0,0.0,118.0,Florestal,6.0,Desconhecida,0,1,0,0,2.75
BI201156,12041.0,2001,6,27,2001-06-27,17:31:00,2001-06-28,01:19:00,2001-06-27,17:42:00,Castelo Branco,Idanha-a-Nova,Segura,SEGURA,50515,39.828056,-6.985833,298200.0,318400.0,dms_recuperado,106.0,106.0,0.0,0.0,Florestal,,,0,1,0,0,7.8
AG10141,21570.0,2001,6,28,2001-06-28,14:29:00,2001-06-28,14:29:00,2001-06-28,14:29:00,Faro,Vila Real de Santo António,Vila Nova de Cacela,Arrodeio,81601,37.208333,-7.542778,252396.0,27109.0,dms_recuperado,100.0,55.0,20.0,25.0,Florestal,6.0,Desconhecida,0,1,0,0,0.0
DM901031,40675.0,2001,7,1,2001-07-01,16:14:00,2001-07-04,21:00:00,2001-07-01,16:14:00,Porto,Trofa,Guidões,Bicho,131807,41.335556,-8.6175,159439.0,485267.0,dms_recuperado,282.0,282.0,0.0,0.0,Florestal,449.0,Intencional,0,1,0,0,76.77
BI101216,9327.0,2001,7,1,2001-07-01,13:45:00,2001-07-01,20:00:00,2001-07-01,15:00:00,Guarda,Sabugal,Cerdeira,CERDEIRA,91113,40.513333,-7.054444,291400.0,394400.0,dms_recuperado,270.0,24.0,246.0,0.0,Florestal,,,0,1,0,0,6.25
TM2015,8223.0,2001,7,1,2001-07-01,11:07:00,2001-07-01,23:15:00,2001-07-01,11:25:00,Bragança,Torre de Moncorvo,Felgar,FELGAR \ SF,40907,41.215556,-6.963611,298077.0,472491.0,dms_recuperado,266.33,10.77,255.56,0.0,Florestal,2.0,Negligente,0,1,0,0,12.13
DM301889,23315.0,2001,7,1,2001-07-01,03:30:00,2001-07-03,04:45:00,,,Braga,Terras de Bouro,Vilar da Veiga,Ermida-P.N.P.G.,31017,41.702222,-8.124722,200700.0,525900.0,dms_recuperado,260.0,150.0,100.0,10.0,Florestal,4.0,Intencional,0,1,0,0,49.25
DM9015502,10838.0,2001,7,1,2001-07-01,01:00:00,2001-07-03,04:25:00,,,Viana do Castelo,Viana do Castelo,Freixieiro de Soutelo,Varios,160914,41.799444,-8.816667,143175.0,536908.0,dms_recuperado,250.0,100.0,150.0,0.0,Florestal,4.0,Intencional,0,1,0,0,51.42
AT901158,29.0,2001,7,1,2001-07-01,19:14:00,2001-07-02,01:30:00,2001-07-01,19:18:00,Portalegre,Alter do Chão,Cunheira,CUNHEIRA,120104,39.320278,-7.810278,227832.0,261416.0,dms_recuperado,138.125,138.125,0.0,0.0,Florestal,,,0,1,0,0,6.27
AG10145,22056.0,2001,7,1,2001-07-01,14:55:00,2001-07-01,14:55:00,2001-07-01,14:55:00,Faro,Silves,São Marcos da Serra,Benafátima da Serra,81306,37.376944,-8.440278,172783.0,45718.0,dms_recuperado,115.0,115.0,0.0,0.0,Florestal,6.0,Desconhecida,0,1,0,0,0.0
TM20138,8317.0,2001,7,2,2001-07-02,16:35:00,2001-07-02,22:25:00,2001-07-02,16:50:00,Bragança,Vila Flor,Freixiel,FREIXIEL,41005,41.314444,-7.243333,274500.0,483200.0,dms_recuperado,281.42,161.0,115.42,5.0,Florestal,,,0,1,0,0,5.83
TM10168,5001.0,2001,7,2,2001-07-02,11:50:00,2001-07-02,15:30:00,2001-07-02,14:30:00,Vila Real,Vila Pouca de Aguiar,Tresminas,Plaino dos Torgueiros \ REG,171312,41.472778,-7.553611,248408.0,500578.0,dms_recuperado,120.7,63.13,57.57,0.0,Florestal,5.0,Natural,0,1,0,0,3.67
TM10135,5000.0,2001,7,2,2001-07-02,13:55:00,2001-07-03,07:30:00,2001-07-02,14:10:00,Vila Real,Valpaços,Vilarandelo,Carriçal \ REG,171231,41.648889,-7.298056,269546.0,520283.0,dms_recuperado,113.54,75.84,34.39,3.31,Florestal,2.0,Negligente,0,1,0,0,17.58
AT901129,35.0,2001,7,3,2001-07-03,16:50:00,2001-07-03,23:15:00,2001-07-03,16:53:00,Beja,Beja,Albernoa,Braciosa,20501,37.808889,-7.954167,215733.0,93608.0,dms_recuperado,290.0,0.0,290.0,0.0,Florestal,2.0,Negligente,0,1,0,0,6.42
DM9014017,40675.0,2001,7,3,2001-07-03,13:47:00,2001-07-06,03:30:00,,,Porto,Gondomar,Medas,Gens,130406,41.057222,-8.428056,175200.0,454300.0,dms_recuperado,282.0,282.0,0.0,0.0,Florestal,4.0,Intencional,0,1,0,0,61.72
BI101236,9482.0,2001,7,3,2001-07-03,16:30:00,2001-07-04,00:45:00,2001-07-03,17:50:00,Guarda,Guarda,Gagos,GAGOS,90719,40.584167,-7.113611,286300.0,402200.0,dms_recuperado,166.45,29.25,132.2,5.0,Florestal,,,0,1,0,0,8.25
RO101299,13128.0,2001,7,4,2001-07-04,14:50:00,2001-07-05,01:10:00,,,Santarém,Salvaterra de Magos,Marinhais,MARINHAIS \ VG,141502,39.048056,-8.704722,150500.0,231300.0,dms_recuperado,119.0,60.0,59.0,0.0,Florestal,2.0,Negligente,0,1,0,0,10.33
AT901164,35.0,2001,7,11,2001-07-11,13:05:00,2001-07-12,02:00:00,2001-07-11,13:08:00,Portalegre,Castelo de Vide,Nossa Senhora Da Graça De Póvoa E Meadas,PÓVOA E MEADAS,120501,39.510556,-7.527222,252086.0,282676.0,dms_recuperado,1192.45,1192.45,0.0,0.0,Florestal,,,0,1,0,0,12.92
AT901201,19.0,2001,7,12,2001-07-12,14:30:00,2001-07-13,01:30:00,2001-07-12,14:32:00,Évora,Montemor-o-Novo,Santiago do Escoural,Barbosa,70605,38.493889,-8.213056,193018.0,169633.0,dms_recuperado,1107.0,800.0,0.0,307.0,Florestal,,,0,1,0,0,11.0
AT901200,18.0,2001,7,12,2001-07-12,14:30:00,2001-07-12,16:09:00,2001-07-12,14:35:00,Setúbal,Alcácer do Sal,Torrão,PENA 1º,150104,38.345219,-8.246742,190064.0,153127.0,dms_recuperado,440.0,153.0,0.0,287.0,Florestal,2.0,Negligente,0,1,0,0,1.65
AT901211,31.0,2001,7,12,2001-07-12,17:05:00,2001-07-12,21:45:00,2001-07-12,17:08:00,Beja,Almodôvar,Almodôvar,Monte do Vale da Palha,20201,37.573333,-8.154444,198100.0,67454.0,dms_recuperado,155.0,155.0,0.0,0.0,Florestal,6.0,Desconhecida,0,1,0,0,4.67
BI101269,10043.0,2001,7,13,2001-07-13,11:00:00,2001-07-13,23:55:00,2001-07-13,11:35:00,Guarda,Trancoso,Aldeia Nova,ALDEIA NOVA,91301,40.708889,-7.444167,258200.0,415800.0,dms_recuperado,111.0,23.0,88.0,0.0,Florestal,2.0,Negligente,0,1,0,0,12.92
AT901259,2.0,2001,7,17,2001-07-17,13:45:00,2001-07-17,18:00:00,2001-07-17,13:49:00,Évora,Reguengos de Monsaraz,Monsaraz,Serra da Barrada,71103,38.473787,-7.404701,263563.0,167643.0,dms_recuperado,263.5,0.0,40.0,223.5,Florestal,4.0,Intencional,0,1,0,0,4.25
AT901236,59.0,2001,7,19,2001-07-19,10:23:00,2001-07-19,17:23:00,2001-07-19,10:28:00,Beja,Beja,Albernoa,Corte Carrasco,20501,37.850062,-7.957713,215434.0,98173.0,dms_recuperado,135.0,135.0,0.0,0.0,Florestal,6.0,Desconhecida,0,1,0,0,7.0
TM201500,10480.0,2001,7,21,2001-07-21,09:45:00,2001-07-23,07:30:00,,,Guarda,Vila Nova De Foz Côa,Freixo de Numão,FREIXO DE NUMÃO,91406,41.0675,-7.215556,277100.0,455800.0,dms_recuperado,180.0,40.0,140.0,0.0,Florestal,,,0,1,0,0,45.75
TM201126,9463.0,2001,7,21,2001-07-21,12:15:00,2001-07-22,23:35:00,2001-07-21,12:35:00,Bragança,Carrazeda de Ansiães,Pombal,Quinta do Barraráz \ CAS,40314,41.280833,-7.384722,262696.0,479358.0,dms_recuperado,141.16,129.16,7.0,5.0,Florestal,,,0,1,0,0,35.33
